lad,measured,predicted
0.75,0.94,0.80
0.98,1.00,0.98
0.96,1.00,0.95
0.85,1.00,0.93
0.93,1.00,0.93
0.99,1.00,0.95
0.99,1.00,0.95
0.81,0.92,0.84
0.95,1.00,0.95
0.92,0.94,0.85
0.35,0.58,0.47
0.99,1.00,0.98
0.03,0.10,0.00
0.35,0.37,0.12
0.98,1.00,0.97
0.55,0.87,0.65
0.94,1.00,0.95
0.40,0.64,0.65
0.91,1.00,0.90
0.93,1.00,0.93
0.96,0.98,0.93
0.59,0.86,0.65
0.87,0.96,0.95
0.99,1.00,0.95
0.03,0.04,0.02
0.94,1.00,0.98
1.00,1.00,0.98
0.91,0.99,0.91
0.95,1.00,0.97
1.00,1.00,0.98
0.99,1.00,0.98
0.99,1.00,0.95
0.62,0.75,0.71
0.98,1.00,0.98
1.00,1.00,0.95
0.83,0.96,0.79
1.00,1.00,0.94
0.95,1.00,0.93
0.78,0.94,0.80
0.78,0.93,0.85
0.96,1.00,0.95
0.28,0.39,0.25
0.78,0.91,0.80
0.97,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.93
0.27,0.52,0.40
0.78,0.85,0.80
0.78,0.95,0.76
0.96,1.00,0.95
0.99,1.00,0.97
0.98,1.00,0.95
0.98,1.00,0.95
1.00,1.00,0.95
0.98,1.00,0.98
0.76,0.89,0.82
0.99,1.00,0.95
0.72,0.92,0.75
0.69,0.92,0.78
1.00,1.00,0.95
0.02,0.07,0.02
0.82,0.94,0.82
0.45,0.78,0.65
0.67,0.84,0.75
0.98,1.00,0.95
0.98,1.00,0.95
0.96,1.00,0.95
0.99,1.00,0.98
1.00,1.00,0.98
0.98,1.00,0.95
0.96,1.00,0.95
0.31,0.41,0.32
0.97,1.00,0.93
0.68,0.79,0.65
0.77,0.93,0.75
0.89,1.00,0.95
0.97,1.00,0.95
0.94,1.00,0.93
0.98,1.00,0.95
0.97,1.00,0.95
0.95,1.00,0.93
0.95,0.99,0.93
0.99,1.00,0.96
0.96,1.00,0.95
0.86,0.95,0.93
0.96,0.99,0.93
1.00,1.00,0.98
0.39,0.80,0.75
0.00,0.01,0.00
0.99,1.00,0.97
0.15,0.28,0.24
0.97,1.00,0.95
0.93,1.00,0.90
0.44,0.67,0.67
0.99,1.00,0.95
0.77,0.97,0.90
0.76,0.82,0.80
0.70,0.97,0.80
0.80,0.88,0.90
0.70,0.81,0.82
0.98,1.00,0.97
0.54,0.78,0.67
0.92,0.99,0.93
0.87,0.99,0.90
0.98,1.00,0.98
0.98,1.00,0.98
0.92,0.93,0.85
0.00,0.01,0.02
0.97,1.00,0.93
0.97,1.00,0.95
0.99,1.00,0.90
0.96,1.00,0.95
0.99,1.00,0.90
0.98,1.00,0.95
0.99,1.00,0.98
0.41,0.67,0.63
0.00,0.01,0.00
0.84,1.00,0.90
0.00,0.00,0.00
1.00,1.00,0.98
0.99,1.00,0.90
0.91,1.00,0.95
0.99,1.00,0.98
0.35,0.68,0.56
0.75,0.82,0.65
0.00,0.00,0.02
0.99,1.00,0.98
0.98,0.98,0.92
0.74,0.82,0.67
0.97,1.00,0.98
0.98,1.00,0.90
0.98,1.00,0.98
0.63,0.89,0.74
0.03,0.05,0.00
0.72,0.92,0.79
0.97,1.00,0.98
0.96,1.00,0.94
0.99,1.00,0.98
0.84,0.94,0.88
0.00,0.00,0.00
0.98,1.00,0.93
0.49,0.69,0.65
0.97,0.99,0.90
0.84,1.00,0.95
1.00,1.00,0.98
0.96,1.00,0.98
0.32,0.46,0.47
0.94,0.98,0.93
0.98,1.00,0.95
0.85,1.00,0.89
0.98,1.00,0.95
0.98,1.00,0.93
0.99,1.00,0.95
0.47,0.69,0.55
1.00,1.00,0.98
0.94,1.00,0.95
0.99,1.00,0.98
0.99,1.00,0.90
0.93,1.00,0.95
0.03,0.10,0.02
0.93,0.97,0.86
0.99,1.00,0.98
0.71,0.78,0.68
0.68,0.87,0.75
0.27,0.52,0.31
0.97,1.00,0.95
0.90,0.96,0.95
0.88,1.00,0.95
0.02,0.05,0.02
0.00,0.00,0.00
0.97,1.00,0.90
0.86,0.98,0.86
0.41,0.71,0.75
0.15,0.18,0.06
0.98,1.00,0.98
0.95,1.00,0.98
0.96,1.00,0.93
0.88,0.95,0.87
0.85,1.00,0.95
1.00,1.00,0.98
0.42,0.49,0.39
0.42,0.60,0.52
0.44,0.75,0.65
0.86,0.96,0.89
0.99,1.00,0.95
0.99,1.00,0.98
0.71,0.90,0.80
0.97,1.00,0.95
0.95,1.00,0.85
1.00,1.00,0.98
0.99,1.00,0.98
0.90,1.00,0.84
1.00,1.00,0.98
0.82,0.94,0.80
0.39,0.63,0.39
0.99,1.00,0.95
0.99,1.00,0.95
0.91,0.96,0.88
0.61,0.83,0.85
0.94,1.00,0.95
0.83,0.94,0.80
0.75,0.96,0.90
0.98,1.00,0.95
0.87,0.99,0.84
0.04,0.24,0.06
0.89,0.99,0.90
0.96,1.00,0.98
1.00,1.00,0.96
0.69,0.74,0.71
0.99,1.00,0.93
0.76,0.90,0.80
0.97,1.00,0.95
0.99,1.00,0.98
0.98,1.00,0.90
0.04,0.12,0.00
0.96,1.00,0.90
0.96,1.00,0.95
0.98,1.00,0.98
0.98,1.00,0.93
0.73,0.79,0.65
0.96,1.00,0.95
0.92,1.00,0.95
0.91,1.00,0.86
0.55,0.72,0.49
0.98,1.00,0.93
0.95,1.00,0.95
0.97,1.00,0.95
0.01,0.11,0.08
0.04,0.09,0.14
0.81,0.94,0.93
0.96,1.00,0.90
0.99,1.00,0.96
0.25,0.45,0.07
0.96,0.99,0.86
0.99,1.00,0.95
0.99,1.00,0.98
0.51,0.44,0.49
0.92,0.98,0.81
0.85,0.99,0.85
0.79,0.94,0.85
0.76,0.91,0.85
0.96,1.00,0.90
0.99,1.00,0.93
0.95,0.99,0.95
0.94,1.00,0.95
0.99,1.00,0.97
0.93,1.00,0.90
0.09,0.26,0.20
0.96,1.00,0.94
0.22,0.26,0.07
0.11,0.26,0.13
0.04,0.21,0.00
0.13,0.29,0.11
0.99,1.00,0.98
0.98,1.00,0.95
0.90,1.00,0.95
0.48,0.70,0.57
0.81,0.91,0.81
0.96,1.00,0.95
0.99,1.00,0.94
0.00,0.00,0.00
0.84,0.92,0.80
0.95,1.00,0.83
0.00,0.00,0.00
0.63,0.75,0.63
0.85,0.95,0.80
0.98,1.00,0.95
0.43,0.49,0.55
0.97,0.99,0.95
0.72,0.94,0.82
0.34,0.71,0.60
0.93,1.00,0.91
0.94,1.00,0.95
0.65,0.88,0.80
0.99,1.00,0.98
0.91,1.00,0.90
0.65,0.80,0.65
0.97,1.00,0.95
0.97,1.00,0.93
0.94,1.00,0.93
0.95,1.00,0.90
0.87,0.98,0.93
0.97,1.00,0.95
0.51,0.71,0.57
0.94,1.00,0.93
0.99,1.00,0.95
0.92,0.95,0.90
0.97,1.00,0.90
0.87,0.96,0.77
0.29,0.64,0.38
0.32,0.43,0.25
0.98,1.00,0.98
0.97,1.00,0.95
0.02,0.06,0.00
0.92,0.96,0.79
0.05,0.16,0.00
0.38,0.59,0.53
0.99,1.00,0.95
0.87,1.00,0.86
1.00,1.00,0.98
0.97,1.00,0.93
0.95,1.00,0.90
0.92,1.00,0.90
0.00,0.04,0.11
0.94,1.00,0.95
0.98,1.00,0.93
0.80,0.91,0.89
0.88,0.95,0.83
0.06,0.21,0.16
0.72,0.86,0.75
0.06,0.16,0.09
0.71,0.88,0.75
0.97,0.99,0.80
1.00,1.00,0.98
0.79,0.92,0.82
0.09,0.19,0.04
0.46,0.67,0.57
0.47,0.66,0.56
0.98,1.00,0.93
0.26,0.44,0.41
0.04,0.20,0.00
0.99,1.00,0.98
0.01,0.13,0.21
0.97,1.00,0.98
0.93,1.00,0.92
0.89,0.98,0.93
0.98,1.00,0.93
0.99,1.00,0.98
0.18,0.50,0.38
0.97,1.00,0.95
0.36,0.51,0.29
0.97,1.00,0.95
0.98,1.00,0.98
0.61,0.77,0.60
0.48,0.59,0.66
0.00,0.00,0.00
0.93,0.99,0.93
0.77,0.86,0.80
1.00,1.00,0.95
1.00,1.00,0.98
0.41,0.60,0.33
1.00,1.00,0.95
0.71,0.78,0.75
0.91,0.91,0.80
0.97,1.00,0.95
0.96,1.00,0.93
0.99,1.00,0.95
0.95,1.00,0.88
0.91,0.98,0.84
0.99,1.00,0.97
0.90,1.00,0.85
0.98,1.00,0.90
0.98,1.00,0.95
0.02,0.09,0.02
0.98,1.00,0.95
0.93,1.00,0.98
0.77,0.89,0.80
0.82,0.99,0.80
0.96,1.00,0.93
0.92,1.00,0.80
0.98,1.00,0.93
0.37,0.51,0.18
1.00,1.00,0.98
0.96,1.00,0.95
0.89,0.93,0.84
0.98,1.00,0.95
0.94,1.00,0.95
0.01,0.08,0.02
0.04,0.09,0.02
0.93,1.00,0.93
0.97,1.00,0.93
0.96,1.00,0.93
0.92,0.99,0.91
0.86,1.00,0.84
0.92,1.00,0.95
0.91,1.00,0.95
0.98,1.00,0.95
0.97,1.00,0.95
0.91,0.99,0.82
0.20,0.26,0.39
0.97,1.00,0.95
0.97,1.00,0.95
0.86,1.00,0.98
1.00,1.00,0.95
0.59,0.77,0.60
0.99,1.00,0.98
0.89,1.00,0.88
0.93,1.00,0.95
0.98,1.00,0.95
0.92,1.00,0.95
0.10,0.28,0.26
0.88,1.00,0.95
0.98,1.00,0.98
0.58,0.59,0.73
0.98,1.00,0.98
0.98,1.00,0.98
0.81,0.98,0.79
0.93,1.00,0.95
0.87,0.97,0.90
0.92,1.00,0.95
0.07,0.33,0.26
1.00,1.00,0.98
0.96,1.00,0.95
0.73,0.90,0.81
0.71,0.79,0.80
0.34,0.56,0.53
0.13,0.28,0.05
0.00,0.01,0.02
0.98,1.00,0.95
0.99,1.00,0.98
0.95,1.00,0.95
0.98,1.00,0.98
0.99,1.00,0.98
0.98,1.00,0.90
0.94,0.97,0.98
0.99,1.00,0.98
0.97,1.00,0.94
0.24,0.48,0.45
0.94,0.97,0.84
0.99,1.00,0.93
0.00,0.03,0.02
0.36,0.58,0.18
0.97,1.00,0.98
0.99,1.00,0.93
0.99,1.00,0.98
0.93,0.98,0.95
0.99,1.00,0.95
0.90,0.97,0.89
1.00,1.00,0.98
0.90,0.98,0.85
0.99,1.00,0.98
0.81,0.95,0.85
0.96,1.00,0.84
0.95,1.00,0.90
0.86,0.95,0.80
0.90,1.00,0.90
0.97,1.00,0.95
0.95,1.00,0.98
0.00,0.01,0.00
0.97,1.00,0.98
0.03,0.06,0.02
0.94,1.00,0.93
0.96,1.00,0.95
0.40,0.62,0.59
0.63,0.76,0.68
0.91,0.99,0.95
0.96,1.00,0.93
0.99,1.00,0.98
0.91,1.00,0.95
0.94,0.98,0.90
0.89,0.95,0.84
0.94,1.00,0.93
0.41,0.71,0.59
0.95,1.00,0.95
0.00,0.02,0.02
0.89,0.97,0.90
0.96,1.00,0.93
0.99,0.99,0.95
0.23,0.33,0.44
0.94,1.00,0.95
0.93,1.00,0.95
0.97,1.00,0.93
0.66,0.77,0.77
0.99,1.00,0.95
0.39,0.59,0.55
0.51,0.62,0.61
0.92,1.00,0.90
0.90,0.99,0.93
0.82,0.91,0.85
0.84,1.00,0.95
0.98,1.00,0.95
0.94,1.00,0.95
0.49,0.72,0.64
0.98,0.98,0.94
1.00,1.00,0.95
0.96,1.00,0.93
0.00,0.00,0.00
0.96,1.00,0.90
1.00,1.00,0.96
0.99,1.00,0.98
0.88,0.95,0.79
0.98,1.00,0.93
0.00,0.05,0.02
0.97,0.97,0.90
0.99,1.00,0.95
0.48,0.61,0.60
1.00,1.00,0.98
0.97,0.99,0.90
0.99,1.00,0.95
0.97,1.00,0.90
0.97,1.00,0.97
0.39,0.46,0.05
0.99,1.00,0.98
0.80,0.93,0.90
0.94,1.00,0.95
0.14,0.28,0.35
1.00,1.00,0.95
0.66,0.83,0.65
0.00,0.03,0.02
0.00,0.00,0.00
0.83,0.95,0.75
0.95,0.99,0.95
0.05,0.11,0.14
0.99,0.99,0.95
0.74,0.89,0.80
0.25,0.44,0.43
0.84,0.94,0.88
0.99,1.00,0.95
0.96,1.00,0.90
0.28,0.49,0.21
0.99,1.00,0.95
0.99,1.00,0.95
0.98,1.00,0.95
0.94,0.99,0.86
0.15,0.26,0.28
0.76,0.97,0.90
0.84,0.85,0.80
0.81,0.95,0.80
0.99,1.00,0.95
0.93,1.00,0.98
0.43,0.50,0.38
0.00,0.10,0.08
0.22,0.50,0.42
0.01,0.03,0.02
0.98,1.00,0.95
0.96,1.00,0.93
0.96,1.00,0.93
0.97,1.00,0.93
0.00,0.00,0.00
0.98,1.00,0.95
0.94,1.00,0.90
0.98,1.00,0.98
0.29,0.40,0.25
0.95,1.00,0.90
0.99,0.99,0.95
0.97,1.00,0.95
0.78,1.00,0.90
0.99,1.00,0.95
0.87,1.00,0.90
0.83,0.90,0.85
0.99,1.00,0.95
1.00,1.00,0.95
0.97,1.00,0.95
0.92,0.99,0.90
0.96,1.00,0.93
0.20,0.47,0.45
0.98,1.00,0.95
0.97,1.00,0.89
0.94,1.00,0.95
0.81,0.88,0.79
0.87,1.00,0.95
0.02,0.05,0.02
0.96,1.00,0.95
0.80,0.92,0.71
0.97,0.99,0.90
0.86,0.99,0.88
0.47,0.62,0.50
0.09,0.18,0.11
0.99,1.00,0.98
0.14,0.23,0.00
0.69,0.94,0.80
0.98,1.00,0.98
0.00,0.05,0.02
0.90,1.00,0.87
0.83,0.99,0.93
0.82,1.00,0.89
0.98,1.00,0.90
0.76,0.93,0.75
0.80,0.92,0.85
0.93,1.00,0.90
0.97,1.00,0.93
0.98,1.00,0.95
0.77,0.90,0.65
0.95,1.00,0.85
0.70,0.88,0.75
0.97,1.00,0.93
0.91,0.98,0.95
0.66,0.83,0.60
0.96,1.00,0.95
0.31,0.61,0.40
0.98,1.00,0.95
0.97,0.99,0.95
0.29,0.50,0.42
0.75,0.88,0.75
0.97,1.00,0.93
0.92,1.00,0.90
0.97,1.00,0.93
0.98,1.00,0.95
0.70,0.91,0.78
0.98,1.00,0.93
0.02,0.20,0.04
0.05,0.07,0.00
0.00,0.05,0.00
0.00,0.02,0.02
0.96,1.00,0.90
0.40,0.78,0.65
0.88,0.97,0.88
0.99,1.00,0.93
0.14,0.37,0.19
0.90,1.00,0.93
0.99,1.00,0.95
0.34,0.60,0.49
0.90,0.98,0.93
0.09,0.22,0.09
0.45,0.54,0.60
0.99,1.00,0.95
0.76,0.88,0.77
0.64,0.86,0.71
0.98,1.00,0.93
0.70,0.83,0.80
0.98,1.00,0.95
0.91,1.00,0.92
0.95,1.00,0.93
0.98,1.00,0.95
0.98,1.00,0.95
0.95,1.00,0.95
0.94,1.00,0.94
0.98,1.00,0.95
0.98,1.00,0.95
0.96,1.00,0.95
0.94,1.00,0.95
0.95,1.00,0.95
0.00,0.02,0.02
0.99,1.00,0.98
0.07,0.43,0.26
0.60,0.73,0.69
0.92,0.96,0.88
0.00,0.03,0.00
0.98,1.00,0.93
0.99,0.99,0.93
0.42,0.63,0.44
0.65,0.71,0.65
0.97,1.00,0.95
0.92,1.00,0.93
0.96,1.00,0.95
0.87,0.98,0.85
0.45,0.68,0.65
0.99,1.00,0.98
0.84,0.98,0.80
0.97,1.00,0.95
0.97,1.00,0.95
0.00,0.00,0.00
0.90,0.99,0.85
0.88,1.00,0.84
0.08,0.12,0.17
0.99,1.00,0.98
0.59,0.91,0.82
0.98,1.00,0.95
0.76,0.96,0.90
0.96,1.00,0.95
0.96,1.00,0.93
1.00,1.00,0.98
0.05,0.11,0.02
0.89,0.94,0.84
0.96,1.00,0.90
0.99,1.00,0.98
0.92,0.98,0.86
0.55,0.78,0.75
0.98,1.00,0.95
0.85,0.96,0.79
0.43,0.66,0.65
0.92,0.95,0.87
0.91,1.00,0.90
0.93,1.00,0.95
0.88,0.96,0.77
0.97,1.00,0.95
0.34,0.49,0.26
0.99,1.00,0.95
0.75,0.89,0.75
0.99,1.00,0.95
0.98,1.00,0.90
0.77,0.91,0.80
0.96,0.98,0.95
0.74,0.83,0.80
0.94,1.00,0.90
0.01,0.01,0.01
0.98,1.00,0.95
0.54,0.65,0.65
0.99,1.00,0.95
0.97,0.99,0.95
0.97,1.00,0.98
0.91,0.96,0.93
0.57,0.66,0.36
0.99,1.00,0.98
0.97,1.00,0.95
0.89,0.99,0.90
1.00,1.00,0.98
0.92,1.00,0.85
0.03,0.09,0.02
0.94,1.00,0.90
1.00,1.00,0.90
0.01,0.02,0.00
0.93,1.00,0.90
0.92,1.00,0.87
0.85,0.97,0.85
0.87,0.97,0.86
0.98,1.00,0.98
0.40,0.59,0.45
0.92,1.00,0.95
0.88,0.84,0.66
0.70,0.78,0.80
0.10,0.28,0.11
0.94,1.00,0.85
0.60,0.86,0.65
0.94,1.00,0.93
0.87,0.96,0.79
0.97,1.00,0.95
0.94,0.99,0.95
0.81,0.88,0.63
1.00,0.99,0.95
0.97,1.00,0.95
0.96,1.00,0.95
0.69,0.88,0.80
0.94,0.99,0.90
0.94,1.00,0.80
0.63,0.79,0.60
0.98,1.00,0.98
0.97,1.00,0.95
0.93,1.00,0.79
0.98,1.00,0.95
0.91,0.99,0.90
0.91,0.98,0.84
0.70,0.74,0.69
0.86,0.99,0.90
0.94,1.00,0.90
0.93,1.00,0.90
0.96,1.00,0.95
0.97,1.00,0.93
0.77,0.86,0.80
0.00,0.00,0.02
0.96,1.00,0.90
0.00,0.01,0.00
0.20,0.33,0.18
0.99,1.00,0.93
0.99,1.00,0.95
0.97,0.99,0.93
0.97,1.00,0.93
0.96,1.00,0.95
0.95,1.00,0.95
0.97,1.00,0.97
0.99,1.00,0.98
0.99,1.00,0.95
0.56,0.69,0.65
0.98,1.00,0.95
0.99,1.00,0.98
0.90,1.00,0.90
0.93,1.00,0.95
1.00,1.00,0.95
0.96,1.00,0.93
0.96,1.00,0.95
0.98,1.00,0.93
0.63,0.77,0.71
0.20,0.41,0.24
0.78,0.87,0.80
0.78,0.90,0.83
0.91,0.97,0.89
0.38,0.56,0.37
0.28,0.47,0.35
0.64,0.78,0.54
0.33,0.45,0.22
0.79,0.95,0.85
0.76,0.92,0.80
0.69,0.82,0.55
0.56,0.76,0.57
0.85,0.99,0.95
0.93,1.00,0.90
0.99,1.00,0.93
0.99,1.00,0.98
0.90,0.95,0.90
0.00,0.00,0.00
0.98,1.00,0.96
0.18,0.25,0.01
0.78,0.91,0.87
0.76,0.86,0.71
0.07,0.15,0.05
0.58,0.65,0.49
0.10,0.26,0.09
0.98,1.00,0.98
0.99,1.00,0.95
0.98,1.00,0.93
0.00,0.00,0.00
0.99,1.00,0.95
0.99,1.00,0.95
0.10,0.27,0.09
0.06,0.08,0.00
0.99,1.00,0.98
0.99,1.00,0.95
0.96,1.00,0.93
0.89,1.00,0.84
0.83,0.94,0.80
0.96,1.00,0.95
0.29,0.44,0.27
0.98,1.00,0.98
0.98,1.00,0.95
1.00,1.00,0.95
0.91,0.96,0.92
0.93,1.00,0.95
1.00,1.00,0.98
0.95,1.00,0.87
0.44,0.55,0.49
0.96,1.00,0.95
0.99,1.00,0.90
0.92,1.00,0.93
0.00,0.07,0.00
0.00,0.00,0.01
0.97,1.00,0.98
1.00,1.00,0.95
0.97,1.00,0.95
0.57,0.87,0.75
0.99,1.00,0.95
0.99,1.00,0.90
0.89,0.98,0.92
0.84,0.91,0.82
0.94,1.00,0.98
0.99,1.00,0.95
0.91,0.99,0.90
0.49,0.55,0.33
0.00,0.01,0.02
0.98,0.98,0.90
0.92,0.90,0.88
0.92,1.00,0.95
0.74,0.90,0.77
0.98,1.00,0.95
0.83,0.93,0.82
0.96,1.00,0.97
0.99,1.00,0.96
0.00,0.01,0.02
0.92,1.00,0.93
0.98,1.00,0.98
0.89,0.94,0.81
0.99,1.00,0.95
0.48,0.78,0.60
0.91,0.94,0.85
0.96,1.00,0.95
1.00,1.00,0.98
0.97,1.00,0.95
0.03,0.06,0.02
0.95,1.00,0.95
0.52,0.67,0.65
0.94,1.00,0.93
0.00,0.00,0.00
0.96,1.00,0.95
0.01,0.07,0.02
0.84,0.93,0.88
0.98,1.00,0.93
0.98,1.00,0.95
0.98,1.00,0.98
1.00,1.00,0.95
0.98,1.00,0.95
1.00,1.00,0.95
0.99,1.00,0.95
0.30,0.38,0.30
0.99,1.00,0.95
0.57,0.88,0.79
1.00,1.00,0.96
0.00,0.01,0.00
0.60,0.89,0.75
0.87,1.00,0.95
0.58,0.71,0.59
0.08,0.12,0.00
0.01,0.02,0.02
0.86,0.98,0.85
0.64,0.90,0.80
0.40,0.70,0.49
0.80,0.92,0.75
0.94,1.00,0.90
0.06,0.37,0.26
0.94,1.00,0.90
0.96,0.99,0.88
0.55,0.61,0.44
0.72,0.87,0.65
0.53,0.66,0.56
0.99,1.00,0.93
0.99,1.00,0.98
0.22,0.37,0.45
0.96,1.00,0.95
0.97,1.00,0.98
1.00,1.00,0.98
0.99,1.00,0.93
0.98,1.00,0.94
0.28,0.40,0.32
0.94,0.99,0.88
0.90,1.00,0.93
0.72,0.86,0.80
0.99,1.00,0.98
0.08,0.18,0.04
0.94,0.99,0.85
0.96,1.00,0.84
0.84,0.97,0.76
0.92,0.99,0.82
0.99,0.98,0.95
0.39,0.55,0.36
0.96,1.00,0.95
0.99,1.00,0.98
0.98,1.00,0.98
0.93,1.00,0.93
0.96,1.00,0.90
0.93,0.98,0.93
0.98,1.00,0.95
0.98,1.00,0.95
0.55,0.74,0.57
0.00,0.03,0.02
0.79,0.86,0.75
1.00,1.00,0.98
0.98,1.00,0.95
0.73,0.78,0.55
0.58,0.79,0.56
0.93,1.00,0.95
0.95,1.00,0.95
0.97,1.00,0.93
0.50,0.58,0.42
0.59,0.63,0.67
0.87,0.93,0.86
0.62,0.82,0.79
1.00,1.00,0.98
0.36,0.55,0.38
1.00,1.00,0.95
0.86,0.97,0.84
0.58,0.78,0.65
0.92,1.00,0.85
0.99,1.00,0.95
0.99,1.00,0.93
0.96,1.00,0.95
0.31,0.49,0.44
0.97,1.00,0.90
1.00,1.00,0.98
0.98,1.00,0.98
0.04,0.06,0.01
