lad,measured,predicted
0.84,0.98,0.90
0.90,0.96,0.95
0.93,1.00,0.93
0.98,1.00,0.95
0.92,1.00,0.95
0.96,1.00,0.90
0.96,1.00,0.93
0.96,1.00,0.89
0.95,1.00,0.90
0.97,1.00,0.95
0.52,0.68,0.53
0.86,1.00,0.90
0.93,1.00,0.90
0.97,0.99,0.95
0.81,0.97,0.80
0.93,1.00,0.93
0.94,1.00,0.90
0.00,0.05,0.06
0.97,1.00,0.95
0.00,0.05,0.00
0.97,1.00,0.95
0.72,0.91,0.75
0.99,1.00,0.90
0.90,0.96,0.90
0.99,1.00,0.98
0.80,0.99,0.87
0.96,1.00,0.90
0.95,1.00,0.92
0.97,1.00,0.95
0.97,1.00,0.88
0.86,0.96,0.85
0.92,0.98,0.82
0.94,1.00,0.93
0.07,0.27,0.07
0.99,1.00,0.98
0.96,0.96,0.86
0.97,1.00,0.95
0.00,0.01,0.00
0.73,0.83,0.80
0.97,1.00,0.95
0.93,1.00,0.92
0.98,1.00,0.95
0.79,0.96,0.80
0.92,0.97,0.85
1.00,1.00,0.96
0.47,0.67,0.60
0.95,1.00,0.98
0.98,1.00,0.95
0.95,1.00,0.95
0.51,0.79,0.79
0.98,1.00,0.98
0.59,0.80,0.75
0.94,1.00,0.93
0.98,1.00,0.95
0.98,1.00,0.98
0.95,1.00,0.90
0.97,1.00,0.93
0.88,0.97,0.93
1.00,1.00,0.95
0.00,0.00,0.00
0.38,0.50,0.45
1.00,1.00,0.98
0.91,0.98,0.95
0.98,1.00,0.90
0.93,0.96,0.95
0.79,0.95,0.88
0.99,1.00,0.90
0.99,1.00,0.93
0.00,0.08,0.02
0.97,1.00,0.95
0.84,0.97,0.84
0.79,0.93,0.85
0.99,1.00,0.98
0.09,0.32,0.00
0.99,1.00,0.95
0.02,0.17,0.16
0.18,0.29,0.09
0.93,1.00,0.93
0.83,0.89,0.77
0.99,1.00,0.95
0.99,0.99,0.95
0.25,0.61,0.42
0.97,1.00,0.93
0.12,0.18,0.15
0.92,1.00,0.95
0.74,0.88,0.85
0.98,1.00,0.97
0.99,1.00,0.95
0.98,1.00,0.95
0.26,0.43,0.20
0.96,1.00,0.90
0.96,1.00,0.95
0.96,1.00,0.91
0.69,0.90,0.79
0.99,1.00,0.95
0.92,0.99,0.90
0.97,0.99,0.95
0.86,0.94,0.85
0.93,0.87,0.79
0.69,0.81,0.80
0.99,1.00,0.95
0.96,1.00,0.95
0.37,0.58,0.43
0.98,1.00,0.95
0.99,1.00,0.98
0.99,1.00,0.95
0.98,1.00,0.95
0.97,0.99,0.90
1.00,1.00,0.95
0.98,1.00,0.93
0.74,0.90,0.75
0.11,0.23,0.12
1.00,1.00,0.95
0.97,0.98,0.90
0.81,0.99,0.88
0.75,0.99,0.90
0.82,0.91,0.80
0.05,0.15,0.13
0.75,0.90,0.82
0.78,0.93,0.82
0.21,0.38,0.11
0.90,1.00,0.93
0.04,0.10,0.02
0.00,0.00,0.00
0.96,1.00,0.95
0.88,0.96,0.89
0.35,0.62,0.67
0.96,1.00,0.95
0.95,1.00,0.95
0.78,0.96,0.80
0.99,1.00,0.98
0.91,1.00,0.91
0.99,1.00,0.98
0.02,0.04,0.00
0.97,1.00,0.95
0.99,1.00,0.95
0.90,0.98,0.89
0.93,1.00,0.87
0.40,0.77,0.70
0.84,0.98,0.75
0.01,0.03,0.02
0.27,0.47,0.20
0.38,0.69,0.65
0.96,1.00,0.90
0.98,1.00,0.95
0.97,1.00,0.95
0.95,1.00,0.94
0.98,1.00,0.97
0.98,0.99,0.93
0.69,0.85,0.71
0.02,0.09,0.02
0.82,0.90,0.88
0.89,0.95,0.85
0.90,1.00,0.90
1.00,1.00,0.98
0.17,0.37,0.13
0.56,0.76,0.77
0.99,1.00,0.95
0.97,1.00,0.95
0.00,0.04,0.02
0.87,1.00,0.90
0.71,0.86,0.77
0.93,0.99,0.90
0.60,0.72,0.85
0.99,1.00,0.98
0.21,0.36,0.00
0.78,0.96,0.79
0.42,0.61,0.46
0.96,1.00,0.95
0.66,0.80,0.60
0.82,0.95,0.88
0.99,1.00,0.93
0.95,1.00,0.95
0.99,1.00,0.98
0.96,1.00,0.93
0.96,1.00,0.90
0.98,1.00,0.95
1.00,1.00,0.93
0.94,1.00,0.90
0.93,1.00,0.90
0.95,0.99,0.95
1.00,1.00,0.93
1.00,1.00,0.98
0.71,0.80,0.73
0.96,1.00,0.90
0.86,0.97,0.88
0.98,1.00,0.98
0.81,0.93,0.68
0.97,1.00,0.95
0.99,0.99,0.95
1.00,1.00,0.98
0.92,1.00,0.92
1.00,1.00,0.95
0.94,1.00,0.95
0.12,0.22,0.12
0.97,1.00,0.98
0.61,0.76,0.63
0.96,1.00,0.93
0.98,1.00,0.95
0.92,1.00,0.85
0.96,1.00,0.93
0.95,1.00,0.93
0.99,1.00,0.90
0.56,0.71,0.60
1.00,1.00,0.95
0.77,0.92,0.82
0.76,0.99,0.88
0.97,1.00,0.95
0.93,1.00,0.87
0.80,0.97,0.82
0.81,0.98,0.90
0.98,1.00,0.89
0.21,0.60,0.50
0.91,1.00,0.90
0.98,1.00,0.95
0.89,1.00,0.90
0.99,1.00,0.98
0.51,0.68,0.46
0.20,0.34,0.20
0.97,1.00,0.94
0.09,0.23,0.00
0.99,1.00,0.95
0.94,0.98,0.95
0.06,0.15,0.19
0.56,0.93,0.85
0.14,0.33,0.08
0.81,0.97,0.82
0.59,0.85,0.75
0.96,1.00,0.95
0.98,1.00,0.95
1.00,1.00,0.95
0.99,1.00,0.95
0.61,0.69,0.54
0.35,0.65,0.26
0.95,1.00,0.90
0.95,1.00,0.95
0.97,1.00,0.95
0.96,1.00,0.93
0.94,1.00,0.94
0.65,0.75,0.75
0.98,1.00,0.95
1.00,1.00,0.96
0.91,0.99,0.85
0.91,0.99,0.82
1.00,1.00,0.98
0.94,0.99,0.85
0.96,1.00,0.95
0.99,1.00,0.95
0.97,1.00,0.90
0.93,0.99,0.87
0.83,0.91,0.78
0.96,1.00,0.95
0.65,0.96,0.82
0.02,0.09,0.05
0.97,1.00,0.95
0.91,0.99,0.95
0.02,0.09,0.02
0.02,0.06,0.02
0.98,1.00,0.95
0.97,1.00,0.95
0.03,0.11,0.20
0.34,0.49,0.35
0.94,1.00,0.95
1.00,1.00,0.98
0.97,1.00,0.95
0.75,0.90,0.75
0.89,1.00,0.86
0.87,0.96,0.85
0.99,1.00,0.98
0.92,1.00,0.85
0.14,0.27,0.12
0.53,0.83,0.75
0.40,0.77,0.55
0.01,0.05,0.00
0.95,1.00,0.93
0.92,1.00,0.85
0.20,0.42,0.42
0.89,1.00,0.90
0.92,1.00,0.98
0.96,1.00,0.90
0.94,1.00,0.95
0.98,1.00,0.98
0.93,1.00,0.93
0.01,0.01,0.00
0.98,1.00,0.93
0.99,1.00,0.95
0.92,1.00,0.90
0.97,1.00,0.98
0.89,0.96,0.88
0.98,1.00,0.93
0.88,0.98,0.92
0.98,1.00,0.98
0.76,0.91,0.82
0.97,1.00,0.98
0.34,0.44,0.22
0.99,1.00,0.90
1.00,1.00,0.93
0.99,1.00,0.98
0.99,0.99,0.95
0.94,1.00,0.90
0.98,1.00,0.95
0.22,0.25,0.03
1.00,1.00,0.95
0.98,1.00,0.95
0.34,0.60,0.46
0.96,1.00,0.95
0.98,1.00,0.95
0.20,0.35,0.21
0.95,0.97,0.88
0.01,0.09,0.00
0.30,0.42,0.15
0.97,1.00,0.93
0.97,1.00,0.95
0.99,1.00,0.95
0.94,1.00,0.93
0.02,0.12,0.00
0.77,0.96,0.82
0.99,1.00,0.96
0.96,0.98,0.92
0.98,1.00,0.90
0.94,1.00,0.95
0.99,1.00,0.97
0.88,1.00,0.90
0.93,1.00,0.95
0.20,0.53,0.33
0.92,1.00,0.95
0.96,1.00,0.90
0.97,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.95
0.02,0.06,0.02
0.08,0.18,0.10
0.98,1.00,0.98
0.97,1.00,0.95
0.01,0.07,0.17
0.53,0.92,0.71
0.84,0.99,0.85
0.99,1.00,0.94
0.91,0.95,0.90
0.81,0.97,0.82
0.25,0.51,0.21
0.17,0.39,0.13
0.96,1.00,0.95
0.09,0.23,0.00
0.99,0.99,0.90
0.50,0.74,0.75
1.00,1.00,0.98
0.96,1.00,0.95
0.16,0.32,0.06
0.81,1.00,0.91
0.91,1.00,0.85
0.00,0.02,0.02
0.00,0.00,0.00
0.66,0.83,0.75
0.99,1.00,0.95
0.99,1.00,0.98
0.97,1.00,0.95
0.97,1.00,0.89
1.00,1.00,0.93
0.99,1.00,0.95
0.96,1.00,0.90
0.97,1.00,0.95
0.73,0.96,0.75
0.95,1.00,0.95
0.00,0.00,0.00
0.98,1.00,0.93
0.93,1.00,0.98
0.93,0.99,0.91
0.76,0.94,0.84
0.00,0.01,0.02
0.58,0.79,0.65
0.81,0.95,0.87
1.00,1.00,0.95
0.94,0.98,0.80
0.00,0.03,0.02
1.00,1.00,0.95
0.37,0.50,0.28
0.99,1.00,0.98
0.95,1.00,0.90
0.95,1.00,0.90
0.81,0.96,0.90
1.00,1.00,0.98
0.03,0.07,0.06
0.98,1.00,0.95
0.64,0.80,0.75
0.98,1.00,0.93
0.99,1.00,0.95
0.09,0.29,0.10
0.63,0.88,0.82
0.97,1.00,0.93
0.96,1.00,0.95
0.10,0.60,0.42
0.99,1.00,0.98
0.99,1.00,0.98
0.00,0.01,0.00
0.38,0.44,0.20
0.87,1.00,0.90
0.96,0.99,0.92
1.00,1.00,0.95
0.59,0.66,0.58
0.98,0.99,0.95
0.99,1.00,0.93
0.99,0.99,0.95
0.95,1.00,0.93
0.98,1.00,0.98
0.04,0.16,0.00
0.96,0.99,0.93
0.96,1.00,0.95
0.98,0.99,0.95
0.92,0.99,0.95
0.95,1.00,0.98
0.84,1.00,0.93
0.88,0.98,0.95
0.93,0.99,0.93
0.93,1.00,0.92
0.04,0.06,0.01
0.98,1.00,0.95
0.99,1.00,0.95
0.99,1.00,0.95
0.98,1.00,0.95
0.99,1.00,0.98
0.94,1.00,0.90
0.92,1.00,0.93
0.99,1.00,0.95
0.99,1.00,0.95
0.90,0.96,0.75
0.36,0.74,0.65
0.97,1.00,0.95
0.84,1.00,0.90
0.96,1.00,0.95
0.98,1.00,0.95
0.08,0.23,0.02
0.95,1.00,0.93
0.95,1.00,0.77
0.99,1.00,0.94
1.00,1.00,0.98
0.28,0.40,0.22
0.99,1.00,0.95
0.94,1.00,0.85
0.88,0.92,0.77
0.97,1.00,0.95
0.01,0.04,0.02
0.32,0.62,0.58
0.96,1.00,0.90
1.00,1.00,0.98
0.98,1.00,0.90
0.86,1.00,0.95
0.98,1.00,0.98
0.00,0.07,0.02
1.00,1.00,0.93
0.21,0.41,0.25
0.88,0.99,0.75
0.00,0.00,0.00
0.70,0.98,0.82
0.99,1.00,0.98
0.48,0.70,0.61
0.98,1.00,0.95
0.95,1.00,0.94
0.95,1.00,0.95
0.95,1.00,0.93
0.98,1.00,0.90
0.48,0.57,0.39
0.98,1.00,0.95
0.88,1.00,0.93
0.98,1.00,0.95
0.82,0.98,0.90
0.98,1.00,0.93
0.76,0.92,0.85
0.96,1.00,0.89
0.96,0.99,0.91
0.70,0.80,0.79
0.97,1.00,0.93
0.50,0.59,0.45
0.92,1.00,0.95
0.79,0.93,0.87
0.79,0.84,0.82
0.96,0.99,0.95
0.98,1.00,0.95
0.19,0.35,0.10
0.94,1.00,0.95
0.95,1.00,0.95
0.92,0.97,0.90
0.96,1.00,0.95
0.79,0.98,0.90
0.95,1.00,0.95
0.98,0.99,0.95
0.92,0.99,0.90
0.76,0.92,0.85
0.98,1.00,0.95
0.97,0.95,0.89
1.00,1.00,0.98
0.96,1.00,0.93
0.98,1.00,0.95
0.97,1.00,0.95
0.56,0.80,0.61
0.94,0.97,0.90
0.89,0.96,0.80
0.97,1.00,0.93
0.92,0.99,0.93
0.97,1.00,0.95
0.08,0.34,0.15
0.27,0.35,0.19
0.00,0.02,0.02
1.00,1.00,0.98
0.98,1.00,0.93
0.29,0.57,0.48
0.99,1.00,0.98
0.01,0.12,0.11
0.96,1.00,0.95
0.98,1.00,0.95
1.00,1.00,0.95
0.94,1.00,0.93
0.94,0.98,0.95
0.83,0.98,0.82
0.95,1.00,0.95
0.94,1.00,0.90
0.92,0.99,0.90
0.55,0.67,0.57
1.00,1.00,0.95
0.98,1.00,0.95
1.00,1.00,0.95
0.83,0.93,0.82
0.89,0.98,0.91
0.97,0.99,0.93
0.97,1.00,0.90
0.65,0.79,0.65
0.65,0.90,0.65
0.99,1.00,0.93
0.10,0.29,0.10
0.98,1.00,0.98
0.96,1.00,0.95
0.00,0.02,0.00
0.99,1.00,0.95
0.82,0.91,0.88
0.99,1.00,0.98
0.95,1.00,0.93
0.88,1.00,0.93
0.97,1.00,0.98
0.24,0.37,0.24
0.78,0.82,0.65
0.95,1.00,0.95
0.42,0.64,0.56
0.38,0.60,0.49
1.00,1.00,0.95
0.88,0.97,0.87
0.87,0.96,0.93
0.34,0.48,0.34
0.44,0.53,0.47
0.95,1.00,0.93
0.89,1.00,0.95
1.00,1.00,0.95
0.64,0.88,0.75
0.96,1.00,0.93
0.99,1.00,0.98
0.99,1.00,0.95
0.99,1.00,0.95
0.02,0.17,0.02
0.99,1.00,0.95
0.98,1.00,0.95
0.37,0.50,0.54
0.93,0.95,0.93
0.98,1.00,0.98
0.98,1.00,0.95
0.67,0.77,0.71
0.78,0.92,0.85
0.02,0.04,0.02
0.84,0.91,0.75
0.78,0.91,0.80
0.89,0.98,0.95
0.89,0.93,0.90
0.98,1.00,0.95
0.00,0.06,0.02
0.60,0.81,0.65
1.00,1.00,0.98
0.85,0.96,0.90
0.95,1.00,0.79
0.95,0.99,0.95
0.97,1.00,0.98
0.99,1.00,0.98
0.98,1.00,0.93
0.95,1.00,0.95
1.00,1.00,0.98
0.91,1.00,0.90
0.98,1.00,0.95
0.99,1.00,0.95
0.98,1.00,0.95
0.95,1.00,0.93
1.00,1.00,0.95
0.87,0.90,0.86
0.96,1.00,0.95
0.84,0.92,0.85
0.80,0.98,0.79
1.00,1.00,0.95
0.97,1.00,0.95
1.00,1.00,0.95
0.59,0.82,0.65
1.00,1.00,0.95
0.98,1.00,0.98
0.11,0.54,0.47
0.99,1.00,0.95
0.99,1.00,0.95
0.89,0.97,0.80
0.96,1.00,0.90
0.92,1.00,0.90
0.90,0.98,0.90
0.77,0.91,0.65
0.99,1.00,0.98
0.01,0.04,0.02
0.97,1.00,0.93
0.93,1.00,0.90
0.92,1.00,0.95
0.58,0.76,0.53
0.93,1.00,0.93
1.00,1.00,0.98
0.60,0.75,0.57
0.58,0.79,0.75
0.95,1.00,0.90
0.86,0.97,0.91
0.99,1.00,0.95
0.97,1.00,0.95
0.85,0.93,0.85
0.99,1.00,0.98
0.97,1.00,0.95
0.98,1.00,0.90
0.93,1.00,0.90
0.99,1.00,0.95
0.96,1.00,0.95
0.99,1.00,0.98
0.93,1.00,0.93
0.04,0.10,0.02
0.01,0.10,0.05
0.98,1.00,0.95
0.95,1.00,0.95
0.77,0.97,0.85
0.98,1.00,0.95
0.97,1.00,0.94
0.96,1.00,0.95
0.99,1.00,0.95
0.48,0.60,0.56
0.97,1.00,0.95
0.02,0.06,0.00
0.92,1.00,0.86
0.01,0.01,0.01
0.95,1.00,0.93
0.96,1.00,0.95
0.99,1.00,0.98
0.95,1.00,0.90
0.98,1.00,0.93
1.00,1.00,0.95
1.00,1.00,0.98
0.90,0.99,0.85
0.99,1.00,0.95
0.98,0.99,0.95
0.96,1.00,0.93
0.12,0.24,0.03
0.00,0.00,0.01
0.98,1.00,0.95
0.92,1.00,0.93
0.83,0.93,0.77
0.98,1.00,0.95
0.99,1.00,0.95
0.98,1.00,0.98
0.00,0.00,0.00
0.81,1.00,0.95
0.88,0.99,0.86
0.99,1.00,0.95
0.97,0.99,0.90
0.88,0.95,0.85
0.98,1.00,0.95
0.95,1.00,0.93
0.97,1.00,0.95
0.00,0.00,0.00
0.04,0.05,0.02
0.99,1.00,0.95
0.45,0.61,0.54
0.57,0.79,0.75
0.97,1.00,0.93
0.99,1.00,0.90
0.05,0.14,0.11
0.98,1.00,0.95
0.99,1.00,0.98
0.35,0.47,0.18
0.96,0.99,0.95
0.03,0.09,0.02
0.98,1.00,0.95
0.93,0.98,0.84
0.89,0.99,0.75
0.63,0.73,0.68
0.98,1.00,0.95
0.94,1.00,0.95
0.89,0.92,0.82
0.61,0.77,0.65
0.97,1.00,0.93
0.93,1.00,0.93
0.95,1.00,0.86
0.99,1.00,0.95
0.98,1.00,0.93
0.82,0.92,0.89
0.20,0.25,0.21
0.93,1.00,0.95
0.87,0.90,0.85
0.95,1.00,0.95
1.00,1.00,0.95
0.76,0.94,0.90
0.94,1.00,0.95
0.98,1.00,0.93
0.99,1.00,0.95
0.98,1.00,0.95
0.89,0.97,0.80
0.99,1.00,0.98
0.95,1.00,0.93
0.86,0.99,0.85
0.01,0.08,0.00
1.00,1.00,0.93
0.83,0.99,0.88
0.00,0.00,0.00
0.98,1.00,0.95
0.99,0.99,0.95
0.95,1.00,0.89
0.00,0.02,0.09
0.94,1.00,0.93
0.97,0.99,0.95
0.02,0.00,0.00
0.88,1.00,0.86
0.98,1.00,0.95
0.79,0.92,0.79
0.77,0.97,0.90
0.84,0.94,0.85
0.89,0.99,0.91
1.00,1.00,0.97
0.92,1.00,0.95
0.98,1.00,0.92
0.99,1.00,0.90
0.98,1.00,0.95
0.93,1.00,0.86
0.91,1.00,0.93
0.96,0.99,0.88
0.00,0.01,0.00
0.65,0.79,0.71
0.95,1.00,0.95
1.00,1.00,0.95
0.66,0.76,0.53
0.98,1.00,0.95
0.98,1.00,0.95
0.95,1.00,0.95
0.98,1.00,0.98
0.64,0.72,0.52
0.81,0.89,0.75
0.89,0.99,0.90
0.90,1.00,0.95
0.99,1.00,0.95
0.94,1.00,0.90
0.92,0.98,0.88
0.98,1.00,0.96
0.98,1.00,0.98
0.99,1.00,0.95
0.92,1.00,0.93
0.00,0.02,0.02
0.94,1.00,0.93
0.90,0.98,0.84
0.92,0.93,0.82
0.94,1.00,0.93
0.01,0.02,0.00
0.27,0.39,0.28
0.99,1.00,0.98
0.11,0.17,0.04
0.94,1.00,0.91
0.99,1.00,0.98
0.01,0.10,0.00
0.99,1.00,0.98
0.59,0.74,0.67
0.21,0.32,0.12
0.95,0.99,0.86
0.99,1.00,0.98
0.87,0.94,0.85
0.96,1.00,0.95
0.91,0.99,0.80
0.98,1.00,0.98
1.00,1.00,0.86
0.72,0.88,0.77
0.59,0.86,0.75
1.00,1.00,0.95
0.98,1.00,0.95
0.51,0.80,0.65
0.88,0.95,0.85
1.00,1.00,0.98
0.75,0.91,0.88
0.57,0.71,0.54
0.99,1.00,0.90
0.95,1.00,0.87
0.01,0.02,0.02
0.81,0.99,0.85
0.00,0.05,0.02
0.97,1.00,0.95
0.01,0.14,0.00
0.98,1.00,0.95
0.95,1.00,0.90
0.84,0.97,0.85
0.97,1.00,0.93
0.52,0.56,0.64
0.67,0.84,0.82
0.95,0.99,0.90
0.93,0.97,0.86
0.96,1.00,0.95
0.99,1.00,0.95
0.61,0.69,0.83
0.19,0.42,0.28
0.88,1.00,0.90
0.95,1.00,0.95
0.99,1.00,0.95
0.04,0.24,0.00
0.99,1.00,0.90
0.01,0.06,0.02
0.71,0.85,0.84
0.95,1.00,0.98
1.00,1.00,0.95
0.98,1.00,0.90
0.99,1.00,0.93
0.97,1.00,0.95
0.68,0.77,0.73
0.97,1.00,0.90
0.72,0.86,0.79
0.76,0.78,0.59
0.99,1.00,0.98
0.97,1.00,0.79
0.98,1.00,0.95
0.86,0.95,0.90
0.91,1.00,0.93
0.92,1.00,0.95
0.77,0.93,0.79
0.94,1.00,0.93
0.98,0.99,0.95
0.96,1.00,0.93
0.41,0.49,0.55
0.88,0.96,0.90
0.95,1.00,0.95
0.98,1.00,0.90
0.99,1.00,0.95
0.03,0.17,0.04
0.95,1.00,0.95
0.10,0.18,0.00
0.92,0.96,0.91
0.00,0.00,0.00
0.27,0.49,0.34
0.85,0.91,0.86
0.98,1.00,0.98
0.78,0.92,0.80
0.78,0.94,0.82
0.91,0.98,0.90
0.78,0.91,0.85
0.99,1.00,0.98
0.95,1.00,0.98
0.59,0.76,0.73
0.95,1.00,0.93
0.18,0.34,0.35
0.94,1.00,0.88
0.07,0.12,0.02
1.00,1.00,0.98
0.98,1.00,0.91
0.96,1.00,0.92
0.94,0.98,0.80
0.80,0.93,0.80
0.61,0.70,0.61
0.94,1.00,0.95
0.98,1.00,0.93
0.97,1.00,0.93
0.96,0.99,0.90
0.94,1.00,0.93
0.00,0.09,0.02
0.94,1.00,0.98
0.00,0.04,0.02
0.67,0.81,0.84
0.69,0.87,0.82
0.91,0.92,0.71
0.73,0.91,0.69
0.78,0.90,0.84
0.96,1.00,0.93
0.11,0.21,0.02
0.99,1.00,0.95
0.93,1.00,0.93
0.73,0.99,0.93
0.96,1.00,0.95
0.93,0.98,0.93
0.95,1.00,0.93
0.94,1.00,0.95
0.63,0.67,0.37
0.85,0.83,0.79
0.84,1.00,0.82
0.39,0.58,0.53
0.93,0.96,0.87
0.06,0.18,0.10
0.95,1.00,0.90
0.99,0.97,0.94
0.96,1.00,0.93
0.91,1.00,0.90
0.99,1.00,0.95
0.98,1.00,0.95
0.93,0.98,0.95
0.97,1.00,0.95
0.91,0.98,0.89
0.90,1.00,0.88
0.57,0.81,0.65
0.69,0.92,0.75
0.89,0.96,0.90
0.93,0.97,0.82
0.99,1.00,0.95
0.96,1.00,0.95
0.93,0.97,0.84
0.95,1.00,0.95
0.03,0.21,0.22
0.87,0.98,0.82
0.95,1.00,0.90
0.96,1.00,0.95
0.97,1.00,0.98
0.91,1.00,0.87
0.96,1.00,0.95
1.00,1.00,0.95
0.99,1.00,0.98
0.92,1.00,0.90
0.95,0.99,0.95
0.99,1.00,0.95
0.99,1.00,0.95
0.97,1.00,0.93
0.00,0.07,0.02
0.76,0.94,0.75
0.98,1.00,0.93
0.38,0.58,0.63
0.94,1.00,0.90
0.35,0.43,0.18
