lad,measured,predicted
0.96,1.00,0.93
0.00,0.00,0.00
1.00,1.00,0.95
0.17,0.30,0.02
0.93,1.00,0.93
0.13,0.28,0.11
0.83,0.96,0.76
0.88,1.00,0.95
0.06,0.23,0.00
1.00,1.00,0.98
0.53,0.78,0.55
1.00,1.00,0.95
0.50,0.81,0.71
0.88,0.84,0.75
0.98,1.00,0.90
0.60,0.77,0.71
0.52,0.58,0.66
0.97,1.00,0.98
0.99,1.00,0.98
0.86,0.94,0.80
0.23,0.46,0.34
0.80,0.85,0.79
0.98,1.00,0.95
0.09,0.20,0.02
0.97,1.00,0.93
0.99,1.00,0.98
0.96,1.00,0.95
0.97,1.00,0.95
0.96,1.00,0.90
0.99,1.00,0.95
0.73,0.81,0.77
0.96,1.00,0.93
0.92,0.95,0.85
0.99,1.00,0.95
0.95,1.00,0.95
0.98,1.00,0.95
0.86,0.98,0.86
0.95,1.00,0.95
0.84,1.00,0.95
0.91,1.00,0.90
0.99,1.00,0.95
0.31,0.57,0.47
0.88,1.00,0.93
1.00,1.00,0.93
0.27,0.42,0.36
0.97,0.99,0.86
0.99,1.00,0.95
0.38,0.53,0.23
0.00,0.00,0.00
0.87,0.92,0.80
0.79,0.91,0.80
0.97,1.00,0.95
0.94,1.00,0.93
0.88,1.00,0.93
0.00,0.00,0.00
1.00,1.00,0.98
0.88,0.91,0.80
0.97,1.00,0.95
0.99,1.00,0.98
0.91,0.99,0.89
0.72,0.81,0.83
0.98,1.00,0.90
0.94,1.00,0.80
0.92,1.00,0.90
0.97,1.00,0.95
0.99,1.00,0.93
0.98,1.00,0.98
1.00,1.00,0.95
0.96,0.98,0.87
0.80,0.86,0.80
0.00,0.02,0.00
0.96,0.99,0.95
0.97,1.00,0.95
0.00,0.02,0.00
0.98,0.99,0.93
0.98,1.00,0.95
0.89,0.99,0.90
0.94,1.00,0.98
0.94,1.00,0.93
0.94,1.00,0.93
0.98,1.00,0.93
0.03,0.07,0.03
0.97,1.00,0.93
0.88,1.00,0.86
0.98,1.00,0.95
0.34,0.59,0.37
0.87,0.96,0.86
0.73,0.83,0.79
0.64,0.78,0.60
0.98,1.00,0.93
0.88,0.94,0.91
0.00,0.00,0.00
0.15,0.27,0.17
0.00,0.00,0.00
0.04,0.18,0.00
0.99,1.00,0.98
0.98,1.00,0.95
0.95,1.00,0.90
0.91,0.99,0.86
0.19,0.30,0.27
0.99,1.00,0.90
0.98,1.00,0.93
1.00,1.00,0.95
0.95,1.00,0.93
0.98,1.00,0.90
0.93,1.00,0.92
0.96,1.00,0.93
0.79,0.93,0.85
0.98,1.00,0.95
0.31,0.53,0.39
0.98,0.99,0.90
0.99,1.00,0.98
0.98,1.00,0.93
0.21,0.26,0.28
0.72,0.80,0.80
0.00,0.00,0.00
0.96,1.00,0.98
0.92,0.97,0.93
1.00,1.00,0.93
1.00,1.00,0.96
1.00,0.99,0.95
0.99,1.00,0.95
0.87,0.99,0.93
0.04,0.07,0.02
0.01,0.01,0.02
1.00,1.00,0.98
0.89,1.00,0.93
0.34,0.53,0.25
0.92,0.99,0.90
0.22,0.34,0.33
0.02,0.13,0.04
0.88,0.94,0.84
0.10,0.19,0.02
0.00,0.04,0.00
0.00,0.00,0.00
0.97,1.00,0.93
0.94,1.00,0.91
0.87,0.96,0.80
0.31,0.49,0.28
0.34,0.52,0.53
0.05,0.21,0.21
0.97,1.00,0.98
0.99,1.00,0.95
0.97,0.99,0.88
1.00,1.00,0.95
0.91,0.95,0.88
0.97,1.00,0.95
0.01,0.04,0.02
0.92,0.98,0.90
0.96,1.00,0.90
0.14,0.30,0.01
0.98,1.00,0.93
0.64,0.78,0.63
0.90,0.99,0.93
0.91,1.00,0.95
0.88,0.99,0.90
0.97,1.00,0.95
1.00,1.00,0.95
0.96,1.00,0.93
0.95,1.00,0.90
0.98,1.00,0.95
0.98,1.00,0.95
0.99,1.00,0.95
0.55,0.80,0.65
0.58,0.72,0.57
0.65,0.80,0.75
0.90,1.00,0.95
0.86,1.00,0.90
0.99,1.00,0.95
1.00,1.00,0.98
0.94,1.00,0.93
0.96,1.00,0.95
0.90,0.98,0.93
0.48,0.56,0.65
0.99,1.00,0.93
0.00,0.00,0.00
1.00,1.00,0.98
0.99,1.00,0.94
0.73,0.83,0.85
0.99,1.00,0.95
0.99,1.00,0.95
0.96,1.00,0.84
0.00,0.02,0.02
0.96,0.98,0.88
0.98,1.00,0.98
0.99,1.00,0.98
0.28,0.44,0.20
0.85,0.98,0.87
0.99,1.00,0.95
0.98,1.00,0.95
0.67,0.78,0.73
0.99,1.00,0.95
0.79,0.92,0.85
0.00,0.02,0.02
0.87,1.00,0.79
0.99,1.00,0.93
0.96,1.00,0.97
0.94,1.00,0.93
0.64,0.85,0.60
0.95,0.99,0.90
0.98,1.00,0.90
0.92,1.00,0.90
0.01,0.01,0.02
0.97,1.00,0.90
0.05,0.14,0.00
0.60,0.76,0.64
0.99,1.00,0.98
0.98,1.00,0.95
0.99,1.00,0.95
0.50,0.62,0.65
0.94,1.00,0.86
0.81,0.94,0.87
0.97,1.00,0.95
0.37,0.57,0.42
0.93,0.99,0.98
0.98,1.00,0.95
0.02,0.04,0.01
0.25,0.46,0.40
0.98,1.00,0.98
0.97,1.00,0.95
0.06,0.15,0.11
0.86,0.96,0.87
0.99,0.99,0.95
0.85,0.94,0.85
0.98,1.00,0.90
0.96,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.91
0.77,0.91,0.90
0.86,0.96,0.85
0.97,1.00,0.95
0.98,1.00,0.95
0.83,0.89,0.83
0.99,1.00,0.98
0.95,0.99,0.90
0.14,0.19,0.05
0.88,0.98,0.93
0.86,0.95,0.79
0.68,0.84,0.75
0.98,1.00,0.93
0.97,1.00,0.95
0.98,1.00,0.98
0.50,0.60,0.52
0.07,0.28,0.20
0.58,0.77,0.65
0.99,1.00,0.93
0.29,0.46,0.27
1.00,1.00,0.97
0.50,0.73,0.65
0.97,1.00,0.95
0.79,0.95,0.85
0.97,1.00,0.95
0.99,1.00,0.98
0.93,1.00,0.93
0.97,1.00,0.91
0.83,0.96,0.85
0.00,0.05,0.02
0.95,1.00,0.95
0.99,1.00,0.98
0.95,1.00,0.97
0.97,1.00,0.95
0.39,0.58,0.56
0.95,1.00,0.93
0.80,0.87,0.86
0.98,0.98,0.90
0.94,1.00,0.94
0.96,1.00,0.95
0.98,1.00,0.95
0.93,1.00,0.86
0.99,1.00,0.98
0.76,0.88,0.77
0.97,1.00,0.98
1.00,1.00,0.90
0.03,0.07,0.00
0.80,0.89,0.85
0.75,0.95,0.86
0.00,0.06,0.01
0.98,0.99,0.86
0.94,0.99,0.93
0.98,1.00,0.95
0.81,0.94,0.87
0.43,0.57,0.46
0.96,1.00,0.95
0.18,0.31,0.29
1.00,0.98,0.93
0.79,0.84,0.82
0.98,1.00,0.98
0.04,0.05,0.02
1.00,1.00,0.98
0.96,1.00,0.95
0.90,0.96,0.84
0.98,1.00,0.93
0.75,0.87,0.77
0.99,1.00,0.93
0.81,0.95,0.80
0.80,0.99,0.84
0.15,0.12,0.12
0.06,0.32,0.27
0.76,0.87,0.75
0.93,1.00,0.90
0.97,0.99,0.90
0.97,0.98,0.93
0.98,1.00,0.95
0.95,1.00,0.98
0.99,1.00,0.95
0.99,1.00,0.98
0.51,0.68,0.58
0.86,1.00,0.93
0.00,0.07,0.02
0.94,1.00,0.90
0.92,1.00,0.95
0.99,1.00,0.93
0.96,1.00,0.90
0.99,0.97,0.90
0.99,1.00,0.98
0.97,0.98,0.90
0.99,1.00,0.95
0.93,1.00,0.93
0.95,1.00,0.90
0.97,1.00,0.90
0.97,1.00,0.84
0.97,1.00,0.98
0.00,0.00,0.00
0.95,0.94,0.93
0.89,1.00,0.90
0.97,1.00,0.90
0.97,1.00,0.97
0.98,1.00,0.86
0.89,0.98,0.95
0.99,1.00,0.95
0.61,0.96,0.84
0.97,1.00,0.98
0.74,0.90,0.82
0.90,0.96,0.75
0.00,0.00,0.00
1.00,1.00,0.98
0.99,1.00,0.93
0.95,0.93,0.85
0.90,0.97,0.91
0.97,1.00,0.95
0.97,1.00,0.90
0.94,1.00,0.98
0.72,0.87,0.82
1.00,1.00,0.95
0.97,0.99,0.93
0.65,0.77,0.85
0.00,0.00,0.00
1.00,1.00,0.98
0.82,0.96,0.80
0.81,0.94,0.88
1.00,1.00,0.98
0.98,1.00,0.95
0.97,1.00,0.95
0.99,1.00,0.93
0.89,0.91,0.80
0.97,0.99,0.93
0.53,0.71,0.60
0.58,0.77,0.75
0.98,1.00,0.95
0.98,1.00,0.98
0.99,1.00,0.95
0.97,1.00,0.95
0.05,0.24,0.00
0.96,1.00,0.93
0.91,1.00,0.84
0.98,0.97,0.93
0.88,0.98,0.92
0.96,1.00,0.96
0.98,1.00,0.95
0.25,0.61,0.38
0.95,1.00,0.98
0.95,1.00,0.84
0.91,0.99,0.90
0.99,1.00,0.95
1.00,1.00,0.95
0.95,1.00,0.93
0.94,1.00,0.93
0.27,0.41,0.10
0.84,1.00,0.90
0.96,0.97,0.90
0.89,0.97,0.82
1.00,1.00,0.98
0.92,1.00,0.90
0.88,1.00,0.90
0.94,1.00,0.86
1.00,0.99,0.95
0.85,0.90,0.85
0.72,0.99,0.90
0.94,1.00,0.85
0.86,0.92,0.80
0.59,0.69,0.60
0.10,0.21,0.12
0.87,0.99,0.95
0.99,1.00,0.98
0.99,1.00,0.95
0.99,1.00,0.95
0.85,1.00,0.93
0.98,1.00,0.95
0.96,1.00,0.92
0.97,1.00,0.93
0.90,1.00,0.86
0.98,1.00,0.96
0.99,1.00,0.95
0.94,1.00,0.92
0.90,0.94,0.94
0.84,0.99,0.84
0.75,0.84,0.79
0.99,1.00,0.92
0.95,0.99,0.93
0.99,1.00,0.95
0.24,0.33,0.42
0.77,0.88,0.80
0.05,0.18,0.00
0.47,0.71,0.65
0.96,1.00,0.95
0.69,0.84,0.75
0.91,1.00,0.85
0.15,0.26,0.15
0.98,1.00,0.98
0.72,0.83,0.75
0.97,1.00,0.93
0.62,0.88,0.83
0.04,0.17,0.14
0.99,1.00,0.95
0.00,0.00,0.02
0.99,1.00,0.98
0.84,0.99,0.85
0.17,0.21,0.02
0.24,0.33,0.10
0.98,1.00,0.93
0.99,1.00,0.98
0.70,0.88,0.77
1.00,1.00,0.98
0.59,0.75,0.57
0.93,1.00,0.93
0.93,1.00,0.90
0.68,0.80,0.59
0.99,1.00,0.95
0.63,0.75,0.79
0.99,1.00,0.98
0.78,0.89,0.75
0.81,0.92,0.85
0.95,1.00,0.95
0.19,0.33,0.00
0.98,1.00,0.98
0.78,0.94,0.71
0.98,1.00,0.95
0.45,0.58,0.57
0.95,1.00,0.90
0.00,0.00,0.00
0.95,1.00,0.91
0.00,0.01,0.01
0.98,1.00,0.90
0.97,1.00,0.94
0.73,0.81,0.55
0.93,1.00,0.93
0.84,1.00,0.98
0.94,1.00,0.95
0.96,1.00,0.93
0.95,0.97,0.87
0.98,1.00,0.93
0.97,1.00,0.95
0.97,1.00,0.90
0.93,1.00,0.94
0.97,0.99,0.93
0.98,0.99,0.80
0.89,0.96,0.84
0.99,1.00,0.93
0.99,1.00,0.95
0.66,0.84,0.73
0.98,1.00,0.98
1.00,1.00,0.98
0.85,0.95,0.79
0.99,0.98,0.95
0.99,1.00,0.98
1.00,1.00,0.95
0.99,1.00,0.98
0.99,1.00,0.95
0.98,1.00,0.93
0.97,1.00,0.93
1.00,1.00,0.98
0.99,1.00,0.98
0.63,0.69,0.50
0.80,0.97,0.75
0.99,0.99,0.95
0.96,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.98
0.02,0.05,0.02
1.00,1.00,0.98
0.99,1.00,0.98
0.98,1.00,0.98
0.69,0.82,0.75
0.16,0.31,0.28
0.93,1.00,0.95
0.97,1.00,0.98
0.00,0.00,0.01
0.88,0.98,0.90
0.97,1.00,0.93
0.89,0.99,0.90
0.93,1.00,0.93
0.97,1.00,0.92
0.06,0.13,0.00
0.94,1.00,0.93
0.99,1.00,0.95
0.98,1.00,0.95
0.98,1.00,0.95
0.06,0.13,0.02
0.96,1.00,0.91
0.94,1.00,0.87
0.37,0.41,0.43
0.91,1.00,0.95
0.00,0.00,0.00
0.96,1.00,0.95
0.96,0.97,0.98
0.99,1.00,0.98
0.78,0.97,0.85
1.00,1.00,0.95
0.08,0.29,0.23
0.76,0.77,0.62
0.91,0.99,0.88
0.55,0.63,0.42
0.97,1.00,0.93
0.80,1.00,0.97
0.78,0.89,0.80
0.96,1.00,0.95
0.94,1.00,0.95
0.09,0.28,0.13
0.82,0.91,0.79
0.96,1.00,0.98
0.97,1.00,0.95
0.26,0.40,0.45
0.82,0.93,0.88
0.76,0.94,0.90
0.94,0.98,0.90
1.00,1.00,0.98
0.92,1.00,0.95
0.04,0.14,0.01
0.97,1.00,0.90
0.98,1.00,0.98
0.86,0.95,0.82
0.98,1.00,0.95
0.98,1.00,0.95
0.86,0.97,0.88
0.96,1.00,0.95
0.62,0.75,0.64
0.97,1.00,0.93
0.84,0.98,0.76
0.94,1.00,0.95
0.97,1.00,0.95
0.33,0.46,0.14
0.94,1.00,0.88
0.94,0.98,0.91
0.94,1.00,0.90
0.87,1.00,0.90
0.97,1.00,0.98
0.96,1.00,0.98
0.94,1.00,0.95
0.99,1.00,0.93
0.93,0.98,0.85
0.97,1.00,0.93
0.83,0.98,0.80
0.98,1.00,0.95
0.99,1.00,0.90
0.93,1.00,0.85
0.90,1.00,0.89
0.97,1.00,0.95
0.97,1.00,0.95
0.89,1.00,0.95
0.99,1.00,0.95
1.00,1.00,0.95
0.92,1.00,0.93
0.93,1.00,0.93
0.97,1.00,0.95
0.00,0.01,0.00
0.99,1.00,0.93
0.97,1.00,0.95
0.99,1.00,0.94
0.98,1.00,0.95
0.84,0.91,0.85
0.95,1.00,0.93
1.00,1.00,0.95
0.95,1.00,0.93
0.00,0.00,0.00
0.50,0.76,0.77
0.83,1.00,0.95
1.00,1.00,0.95
0.04,0.14,0.00
0.81,0.95,0.87
0.06,0.19,0.00
0.99,1.00,0.93
0.98,1.00,0.95
0.90,1.00,0.95
0.90,1.00,0.93
0.98,1.00,0.95
0.61,0.75,0.63
0.96,1.00,0.95
0.97,1.00,0.98
0.24,0.34,0.25
0.93,0.99,0.90
0.33,0.51,0.34
0.98,1.00,0.95
0.97,0.99,0.86
0.84,0.95,0.87
0.89,0.97,0.86
0.93,1.00,0.95
0.81,0.86,0.82
0.28,0.79,0.67
1.00,1.00,0.95
0.87,0.94,0.83
0.01,0.04,0.02
0.95,0.99,0.93
0.96,1.00,0.95
0.95,0.97,0.80
0.85,1.00,0.93
0.98,1.00,0.98
0.94,1.00,0.93
0.68,0.93,0.75
0.98,1.00,0.95
0.97,1.00,0.94
0.98,1.00,0.95
0.00,0.00,0.00
0.72,0.93,0.85
0.84,0.94,0.82
0.96,1.00,0.95
0.06,0.13,0.02
0.95,1.00,0.93
0.98,1.00,0.98
0.97,1.00,0.95
0.41,0.52,0.28
0.73,0.93,0.82
0.98,1.00,0.93
0.36,0.49,0.31
0.49,0.75,0.65
0.22,0.38,0.26
0.01,0.03,0.01
0.52,0.66,0.50
0.00,0.08,0.03
0.98,1.00,0.93
0.99,1.00,0.95
0.48,0.63,0.64
0.79,0.93,0.80
1.00,1.00,0.98
0.59,0.88,0.75
0.97,1.00,0.90
0.05,0.24,0.05
0.98,1.00,0.93
0.99,1.00,0.95
0.68,0.77,0.65
1.00,1.00,0.95
0.97,1.00,0.95
0.99,1.00,0.93
0.99,1.00,0.95
0.96,1.00,0.95
0.98,1.00,0.95
0.78,0.90,0.80
0.99,1.00,0.93
0.76,0.95,0.82
0.98,1.00,0.95
0.97,1.00,0.93
0.94,1.00,0.97
0.98,1.00,0.98
0.96,1.00,0.95
0.93,1.00,0.93
0.97,1.00,0.95
0.07,0.14,0.25
0.96,1.00,0.95
0.68,0.78,0.75
0.98,1.00,0.95
0.92,0.96,0.90
0.87,1.00,0.85
0.83,0.95,0.90
0.98,1.00,0.95
0.51,0.78,0.65
0.15,0.29,0.02
0.99,1.00,0.98
0.00,0.00,0.00
0.97,1.00,0.95
0.00,0.01,0.02
0.99,1.00,0.98
1.00,1.00,0.98
0.85,0.93,0.88
0.50,0.84,0.78
0.95,1.00,0.95
0.97,1.00,0.95
1.00,1.00,0.98
0.98,1.00,0.98
0.99,1.00,0.98
0.86,0.96,0.80
0.44,0.61,0.39
0.94,0.99,0.93
0.00,0.05,0.02
0.99,1.00,0.98
0.83,0.94,0.90
0.97,1.00,0.95
0.00,0.03,0.00
1.00,1.00,0.95
0.95,1.00,0.93
0.74,1.00,0.85
0.94,1.00,0.95
0.97,1.00,0.98
0.74,0.89,0.75
0.96,1.00,0.93
0.19,0.42,0.38
0.99,1.00,0.95
0.80,0.89,0.75
0.56,0.75,0.76
0.88,1.00,0.90
0.03,0.21,0.18
0.98,1.00,0.90
0.38,0.45,0.28
0.97,1.00,0.86
0.93,1.00,0.95
0.93,0.97,0.92
0.96,1.00,0.90
0.50,0.75,0.66
0.93,1.00,0.95
0.17,0.35,0.33
0.98,1.00,0.95
0.98,1.00,0.95
0.84,0.91,0.88
0.97,1.00,0.98
0.95,1.00,0.95
0.95,1.00,0.95
0.98,0.99,0.91
0.68,0.81,0.65
0.99,1.00,0.95
0.00,0.00,0.02
0.00,0.02,0.00
0.42,0.43,0.28
0.95,0.98,0.90
1.00,1.00,0.95
0.90,0.95,0.85
0.83,0.92,0.85
0.94,1.00,0.93
0.08,0.13,0.00
0.94,1.00,0.90
0.96,1.00,0.93
0.98,1.00,0.93
0.96,1.00,0.95
0.04,0.18,0.11
0.89,0.98,0.79
0.00,0.07,0.02
0.87,0.96,0.88
0.70,0.90,0.82
0.29,0.48,0.37
0.94,0.96,0.95
0.98,1.00,0.98
0.99,1.00,0.97
0.89,0.99,0.76
0.99,1.00,0.98
0.97,1.00,0.90
0.93,1.00,0.93
0.96,1.00,0.93
1.00,1.00,0.98
0.04,0.16,0.02
0.81,0.95,0.81
0.00,0.00,0.00
0.00,0.00,0.00
0.70,0.99,0.85
0.86,1.00,0.85
0.06,0.12,0.03
0.10,0.20,0.25
0.88,0.95,0.88
0.74,0.80,0.69
0.87,0.93,0.92
0.96,0.96,0.86
0.99,1.00,0.98
0.65,0.91,0.65
0.99,1.00,0.95
0.99,1.00,0.98
0.94,0.99,0.93
0.98,1.00,0.90
0.00,0.09,0.00
0.99,1.00,0.95
0.99,1.00,0.93
0.99,1.00,0.95
0.89,1.00,0.90
0.97,1.00,0.95
0.92,1.00,0.90
0.99,1.00,0.93
0.97,1.00,0.90
0.98,1.00,0.95
0.08,0.15,0.00
0.99,1.00,0.95
0.06,0.14,0.06
0.18,0.34,0.05
0.97,1.00,0.95
0.90,1.00,0.95
0.95,1.00,0.98
0.77,0.99,0.75
0.82,0.97,0.87
0.56,0.86,0.65
0.98,1.00,0.93
0.72,0.84,0.79
0.66,0.85,0.66
0.95,0.99,0.95
0.94,1.00,0.93
0.93,0.99,0.93
0.91,1.00,0.93
0.01,0.06,0.00
0.99,1.00,0.96
0.89,1.00,0.95
0.26,0.43,0.10
0.85,1.00,0.92
0.72,0.85,0.73
0.97,1.00,0.95
0.99,1.00,0.95
0.97,1.00,0.95
1.00,1.00,0.95
0.98,1.00,0.98
0.01,0.07,0.02
0.97,1.00,0.95
0.81,0.82,0.81
0.97,1.00,0.95
0.37,0.51,0.35
0.95,1.00,0.90
0.94,1.00,0.95
0.96,1.00,0.95
0.77,0.87,0.75
0.62,0.71,0.67
0.95,0.99,0.92
1.00,1.00,0.98
0.92,0.99,0.94
0.95,1.00,0.95
0.92,0.98,0.79
0.95,1.00,0.98
0.88,0.96,0.90
0.99,1.00,0.95
0.89,1.00,0.89
0.94,0.99,0.88
0.96,1.00,0.94
0.75,0.82,0.80
0.98,1.00,0.98
0.98,1.00,0.95
0.02,0.06,0.00
0.96,1.00,0.93
0.59,0.70,0.54
0.99,1.00,0.93
0.97,1.00,0.93
0.94,1.00,0.94
0.81,0.90,0.88
0.55,0.78,0.65
0.02,0.11,0.02
0.99,1.00,0.95
0.98,1.00,0.95
0.99,1.00,0.95
0.96,1.00,0.93
0.99,1.00,0.95
0.92,1.00,0.90
0.96,1.00,0.90
0.92,1.00,0.90
0.92,1.00,0.95
1.00,1.00,0.95
0.99,1.00,0.95
0.93,0.99,0.95
0.70,0.79,0.77
0.93,0.97,0.80
1.00,1.00,0.95
0.98,1.00,0.90
0.98,1.00,0.98
0.98,1.00,0.95
0.99,1.00,0.95
0.79,0.86,0.75
0.00,0.00,0.00
0.94,1.00,0.90
0.86,0.94,0.80
0.22,0.40,0.34
0.99,1.00,0.98
0.47,0.54,0.54
0.99,1.00,0.98
0.94,0.98,0.90
0.97,1.00,0.98
0.94,1.00,0.90
0.80,0.95,0.79
0.00,0.00,0.00
0.98,1.00,0.95
0.04,0.14,0.04
0.99,1.00,0.95
0.97,1.00,0.90
1.00,1.00,0.95
0.88,0.94,0.79
0.95,1.00,0.95
0.91,1.00,0.93
0.76,0.82,0.80
0.36,0.53,0.36
0.86,0.91,0.90
0.99,1.00,0.98
0.84,1.00,0.90
0.89,0.95,0.90
0.60,0.84,0.75
0.82,1.00,0.98
0.98,0.99,0.89
0.99,1.00,0.98
0.98,1.00,0.95
0.38,0.54,0.41
0.93,1.00,0.88
0.99,1.00,0.95
0.99,1.00,0.90
1.00,1.00,0.95
0.70,0.84,0.75
0.99,1.00,0.93
0.98,1.00,0.95
0.95,0.98,0.90
0.98,1.00,0.98
0.99,1.00,0.97
0.09,0.19,0.00
0.88,0.99,0.75
0.51,0.72,0.65
0.71,0.95,0.75
0.86,0.98,0.90
0.01,0.10,0.02
0.06,0.29,0.19
0.78,0.81,0.76
0.89,0.96,0.85
0.11,0.18,0.00
0.96,1.00,0.90
0.64,0.77,0.81
0.96,1.00,0.90
0.77,0.96,0.65
0.26,0.30,0.17
0.95,1.00,0.95
0.98,1.00,0.95
0.96,0.99,0.95
0.99,1.00,0.95
0.99,1.00,0.93
0.87,0.94,0.88
0.98,1.00,0.93
0.98,1.00,0.90
0.90,1.00,0.90
1.00,1.00,0.95
